date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:42	6207/6207	---MCZ	404	error ('Not%20Found')	text/html	etag:1624610147-ssl-df	https://qa-recruitment-task.netlify.app/robots.txt		(from )
22:55:43	75635/75635	---MCZ	200	added ('OK')	text/html	etag:%2212773-GcLS8Sf8mDzeUI+Fkl+5Y36vCHI-df%22	https://qa-recruitment-task.netlify.app/	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/index.html	(from )
22:55:44	1539/1539	---M-Z	200	added ('OK')	application/javascript	etag:%220af302c448a084ab3496123b567ee4c6-ssl-df%22	https://qa-recruitment-task.netlify.app/_next/static/chunks/webpack-50bee04d1dc61f8adf5b.js	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/_next/static/chunks/webpack-50bee04d1dc61f8adf5b.js	(from https://qa-recruitment-task.netlify.app/)
22:55:44	131077/131077	---MCZ	200	added ('OK')	application/javascript	etag:%221c60cc157e2f1dc5e8c3e7bffa8cdd9f-ssl-df%22	https://qa-recruitment-task.netlify.app/_next/static/chunks/framework.1a5e6c0bcaecf178eee2.js	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/_next/static/chunks/framework.1a5e6c0bcaecf178eee2.js	(from https://qa-recruitment-task.netlify.app/)
22:55:45	40942/40942	---MCZ	200	added ('OK')	application/javascript	etag:%22eeaea4d496999e3a4ae766b660465364-ssl-df%22	https://qa-recruitment-task.netlify.app/_next/static/chunks/commons.43d6cea061524472f466.js	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/_next/static/chunks/commons.43d6cea061524472f466.js	(from https://qa-recruitment-task.netlify.app/)
22:55:45	19610/19610	---MCZ	200	added ('OK')	application/javascript	etag:%22913d23360232600a70fdce600ab2f08e-ssl-df%22	https://qa-recruitment-task.netlify.app/_next/static/chunks/main-d03d633936728cd81235.js	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/_next/static/chunks/main-d03d633936728cd81235.js	(from https://qa-recruitment-task.netlify.app/)
22:55:45	56949/56949	---MCZ	200	added ('OK')	application/javascript	etag:%226c657b7d57fff4eb9850b242e9caf9b3-ssl-df%22	https://qa-recruitment-task.netlify.app/_next/static/chunks/71247caf95475e3ea7f9a0f8a30beb258b23d005.433e4031e441c09bc89f.js	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/_next/static/chunks/71247caf95475e3ea7f9a0f8a30beb258b23d005.433e4031e441c09bc89f.js	(from https://qa-recruitment-task.netlify.app/)
22:55:46	188509/188509	---MCZ	200	added ('OK')	application/javascript	etag:%2234e045439228db4b00f7e90d06b7eb6f-ssl-df%22	https://qa-recruitment-task.netlify.app/_next/static/chunks/pages/_app-1cb296a6eb062a85ed5a.js	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/_next/static/chunks/pages/_app-1cb296a6eb062a85ed5a.js	(from https://qa-recruitment-task.netlify.app/)
22:55:46	46564/46564	---MCZ	200	added ('OK')	application/javascript	etag:%22366c210adc5c2b5c8cffa49fb880871a-ssl-df%22	https://qa-recruitment-task.netlify.app/_next/static/chunks/pages/index-4c2799a2308532fcd6d5.js	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/_next/static/chunks/pages/index-4c2799a2308532fcd6d5.js	(from https://qa-recruitment-task.netlify.app/)
22:55:47	26237/26237	---MCZ	404	error ('Not%20Found')	text/html	etag:1624610147-ssl-df	https://qa-recruitment-task.netlify.app/photography/	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/photography/index.html	(from https://qa-recruitment-task.netlify.app/)
22:55:47	92425/92425	---MCZ	200	added ('OK')	application/javascript	etag:%2253e062cd00a89d5decd100e84cc9f6ad-ssl-df%22	https://qa-recruitment-task.netlify.app/_next/static/chunks/polyfills-4f14e8c8ea1352d3ef0d.js	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/_next/static/chunks/polyfills-4f14e8c8ea1352d3ef0d.js	(from https://qa-recruitment-task.netlify.app/)
22:55:47	338/338	---M--	200	added ('OK')	application/javascript	etag:%223cb4ebb6937ef9035594f1e68d41aa3c-ssl%22	https://qa-recruitment-task.netlify.app/_next/static/a6Lgmd9Y8DJoXJ3AtxCiu/_buildManifest.js	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/_next/static/a6Lgmd9Y8DJoXJ3AtxCiu/_buildManifest.js	(from https://qa-recruitment-task.netlify.app/)
22:55:48	76/76	---M--	200	added ('OK')	application/javascript	etag:%221c18a28b1d38fe352a4bc9e76e8aedee-ssl%22	https://qa-recruitment-task.netlify.app/_next/static/a6Lgmd9Y8DJoXJ3AtxCiu/_ssgManifest.js	C:/Users/Huseyin/Desktop/Bejamas_/qaTask/qa-recruitment-task.netlify.app/_next/static/a6Lgmd9Y8DJoXJ3AtxCiu/_ssgManifest.js	(from https://qa-recruitment-task.netlify.app/)
